,Country,Avg. GDP 2006-2015 (in 2010 USD)
157,United States,15364344302990.0
35,China,6348608932836.1
76,Japan,5542207638235.176
57,Germany,3493025339072.848
54,France,2681724635761.589
156,United Kingdom,2487906661418.4175
24,Brazil,2189794143774.9048
74,Italy,2120175089933.7761
68,India,1769297396603.8599
31,Canada,1660647466307.512
127,Russian Federation,1565459478480.661
138,Spain,1418078278145.694
9,Australia,1164042729991.427
125,South Korea,1106714508244.852
97,Mexico,1090990419528.4369
70,Iran,444155754051.09503
